name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,date
Hong Kong,HKG,HKD,14.8,7.75655,,1/1/10
Hungary,HUN,HUF,720,186.6508,,1/1/10
Indonesia,IDN,IDR,20900,9320,,1/1/10
Israel,ISR,ILS,14.9,3.7325,,1/1/10
Japan,JPN,JPY,320,91.54,,1/1/10
Malaysia,MYS,MYR,7.05,3.3875,,1/1/10
Mexico,MEX,MXN,32,12.81375,,1/1/10
New Zealand,NZL,NZD,4.9,1.35685,,1/1/10
Norway,NOR,NOK,40,5.69555,,1/1/10
Pakistan,PAK,PKR,200,82.6,,1/1/10
Peru,PER,PEN,8.056,2.8705,,1/1/10
Philippines,PHL,PHP,101.52,45.92,,1/1/10
Poland,POL,PLN,8.1,2.83565,,1/1/10
Russia,RUS,RUB,70,29.927,,1/1/10
Saudi Arabia,SAU,SAR,10,3.7502,,1/1/10
Singapore,SGP,SGD,4.45,1.39555,,1/1/10
South Africa,ZAF,ZAR,17.95,7.3045,,1/1/10
South Korea,KOR,KRW,3400,1140.5,,1/1/10
Sri Lanka,LKA,LKR,210,114.86,,1/1/10
Sweden,SWE,SEK,39,7.0821,,1/1/10
Switzerland,CHE,CHF,6.5,1.03115,,1/1/10
Taiwan,TWN,TWD,75,31.8425,,1/1/10
Thailand,THA,THB,70,33.135,,1/1/10
Turkey,TUR,TRY,5.65,1.47455,,1/1/10
UAE,ARE,AED,11,3.673,,1/1/10
Ukraine,UKR,UAH,14,7.66,,1/1/10
United States,USA,USD,3.58,1,,1/1/10
Uruguay,URY,UYU,77,23.17,,1/1/10
Argentina,ARG,ARS,14,3.93375,,7/1/10
Australia,AUS,AUD,4.35,1.133722578,,7/1/10
Brazil,BRA,BRL,8.71,1.77495,,7/1/10
Britain,GBR,GBP,2.29,0.657375756,,7/1/10
Canada,CAN,CAD,4.17,1.04235,,7/1/10
Chile,CHL,CLP,1750,523.65,,7/1/10
China,CHN,CNY,13.2,6.7769,,7/1/10
Colombia,COL,COP,8200,1868.45,,7/1/10
Costa Rica,CRI,CRC,2000,522.115,,7/1/10
Czech Republic,CZE,CZK,67.64,19.7476,,7/1/10
Denmark,DNK,DKK,28.5,5.81365,,7/1/10
Egypt,EGY,EGP,13,5.699,,7/1/10
